Kruse's Kebab & More,restaurant_dog_friendly,Berlin,Germany,52.5204,13.4137,"A beloved kebab stand with a small, dog-friendly outdoor area.","Kruse's Kebab & More is famous for its delicious food and a small, informal outdoor seating area where leashed dogs are welcome. It's not a fancy restaurant, but the staff are very kind to dogs and will often offer a bowl of water if you ask. The seating is simple benches and tables. It's a great place for a quick, casual meal after a walk. The area is paved, and there's not much shade, so it's better to visit on a cooler day. The food is fantastic, and the atmosphere is bustling and authentic.","3,"Dogs must be on a short leash. Do not allow your dog to sit on the benches or tables. Be mindful of the limited space.","http://www.kruse-kebab.de","+49 30 11223355","kebab@kruse-kebab.de","$$","Mon-Sat: 11:00-22:00, Sun: 12:00-20:00","3.9","Curated Listing","[""Outdoor Seating"", ""Quick Service"", ""Water Bowls"", ""Budget-friendly""]","[""kebab"", ""restaurant"", ""casual"", ""dog friendly"", ""takeaway""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Gropius Off-Leash Park,park_offleash_area,Berlin,Germany,52.4410,13.4682,"A large, green off-leash park in Neukölln with lots of space for dogs to run.","This fantastic off-leash park in Gropiusstadt is a favorite among locals. The park is very large, with a mix of grassy fields and some dirt patches, providing plenty of room for dogs to stretch their legs. It's not fully fenced, so dogs with poor recall should be kept on a leash. There are no specific amenities, so you need to bring your own water and waste bags. The best time to visit is in the morning when the park is less crowded. The terrain is relatively flat, and there are some scattered trees for shade. It's a simple but effective spot for a good run.","4,"Dogs must be under verbal control at all times. Owners are responsible for cleaning up after their pets.","http://www.gropiuspark.de","+49 30 22334455","info@gropiuspark.de","free","Mon-Sun: 08:00-20:00","4.3","City Park Guide","[""Open Field"", ""Waste Bags"", ""Shade Trees"", ""Unfenced"", ""Grassy Area""]","[""off-leash"", ""park"", ""spacious"", ""running"", ""Neukölln""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Kreuzberg Dog Park,park_offleash_area,Berlin,Germany,52.4939,13.4001,"A popular, well-equipped off-leash park in Kreuzberg with a lively atmosphere.","The Kreuzberg Dog Park is a bustling, social hub for dogs and their owners. It's a fully fenced park with a dirt and wood chip surface, which helps with drainage. The park features a few benches and a water fountain for dogs, but can get very crowded, especially on weekends. It's a great place for dogs to play and socialize. The shade is limited, so it's best to visit early or late on a sunny day. The atmosphere is very friendly and communal. It's a great spot for dogs who love to play with others.","4,"Dogs must be supervised at all times. Owners must clean up waste. Be cautious of smaller dogs near larger, more boisterous ones.","http://www.kreuzbergdogpark.de","+49 30 87654321","info@kreuzbergdogpark.de","free","Mon-Sun: 08:00-22:00","4.5","City Park Guide","[""Fenced Area"", ""Water Fountain"", ""Benches"", ""Wood Chip Ground"", ""Waste Bags""]","[""off-leash"", ""dog park"", ""Kreuzberg"", ""social"", ""fenced"", ""play""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Canine Coffee Corner,cafe_dog_friendly,Berlin,Germany,52.5315,13.4110,"A charming small cafe specializing in unique pastries and excellent coffee, with a strong dog-friendly policy.","Canine Coffee Corner is a little gem tucked away, where dogs are not just tolerated, but celebrated. The cafe is small but cozy, with a few tables inside and a couple outside. They have a water bowl ready for every visiting dog and the staff often have treats on hand. The atmosphere is quiet and relaxed, making it perfect for a dog that might be a bit shy. The floors are easy to clean, so a little mess is not a problem. The best time to visit is during the week when it's less busy.","4,"Dogs must be on a leash. Please ensure your dog does not disturb other patrons.","http://www.caninecoffeecorner.de","+49 30 90123567","hello@caninecoffeecorner.de","$$","Mon-Fri: 09:00-18:00, Sat: 10:00-17:00","4.2","Verified Business","[""Indoor Seating"", ""Water Bowls"", ""Dog Treats"", ""Cozy Atmosphere"", ""Coffee & Pastries""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""cozy"", ""relaxed""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
The Wagging Tail,grooming_salon,Berlin,Germany,52.5321,13.4355,"A professional and caring grooming salon with services tailored to your dog's specific needs.","The Wagging Tail offers a full suite of grooming services in a calm, soothing environment. They specialize in handling anxious dogs and use a gentle, patient approach. Services include bathing, trimming, nail clipping, and de-shedding. They use natural, eco-friendly products. Appointments are required to ensure each dog gets their dedicated time slot. The salon has a clean and modern feel. The staff are highly experienced and passionate about their work, making sure your dog has a positive experience.","5,"Appointments are mandatory. All dogs must be vaccinated. Please inform the groomer of any health issues or skin sensitivities.","http://www.waggingtailberlin.de","+49 30 76543210","info@waggingtailberlin.de","$$$","Tue-Sat: 09:00-17:00","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Eco-friendly Products"", ""Anxious Dog Specialization""]","[""grooming"", ""salon"", ""dog wash"", ""pet care"", ""eco friendly"", ""trim""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Tempelhofer Field,park_onleash_area,Berlin,Germany,52.4777,13.4037,"A massive former airport field, now a public park with designated on-leash walking areas.","Tempelhofer Field is an immense open space where Berliners come to relax and play. While the main runways are for bikes and skaters, there are large grassy areas where dogs are welcome on a leash. The park is very flat with plenty of open space, making it great for a long walk or a light jog. The sheer size of the park means you can always find a quiet spot. There are some off-leash areas too, but a majority of the space is on-leash. The park offers very little shade, so it's best to visit on a cooler day or during sunrise/sunset. Water is available at a few scattered fountains.","4,"Dogs must be on a leash in all non-designated off-leash areas. Owners must clean up after their pets.","http://www.tempelhoferfeld.de","+49 30 12398765","info@tempelhoferfeld.de","free","Mon-Sun: 24/7 (gates close at dusk)","4.6","City Park Guide","[""Vast Open Space"", ""Walking Paths"", ""Benches"", ""Restrooms"", ""Water Fountains""]","[""on-leash"", ""park"", ""Tempelhof"", ""walking"", ""spacious"", ""flat""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Bark Park Event,dog_park_event,Berlin,Germany,52.5188,13.4079,"A weekly dog meetup event held at a popular urban dog park, bringing together local dog lovers.","The Berlin Bark Park Event is a recurring social meetup for dogs and their owners. It's a great opportunity for dogs to socialize and for owners to share tips and stories. The event usually features a pop-up treat stand, a pet photographer, and sometimes a mini agility course. The park itself is large and fenced, with a mix of grass and dirt. It's a fun and bustling atmosphere. The event is announced on social media, so it's best to check their page for the exact time and location each week. It's a great way to discover new dog friends.","5,"All dogs must be well-behaved and non-aggressive. Dogs must have current vaccinations. Owners are responsible for their pets at all times.","http://www.berlinbarkpark.de","+49 30 99887755","events@berlinbarkpark.de","free","Saturdays: 10:00-13:00 (Check website for schedule)","4.5","Curated Listing","[""Dog Meetup"", ""Pop-up Treats"", ""Pet Photographer"", ""Social Event"", ""Agility Course""]","[""event"", ""meetup"", ""dog park"", ""social"", ""community"", ""weekly""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Lassie's Laundromat,grooming_salon,Berlin,Germany,52.5321,13.4111,"A self-service dog wash facility with professional grooming services also available.","Lassie's Laundromat is a fantastic spot for a quick and easy DIY dog wash. They provide everything you need: elevated tubs, waterproof aprons, professional-grade shampoos, conditioners, and powerful dryers. The space is clean and well-lit, making the process stress-free. For those who prefer professional help, they also offer full-service grooming by appointment. The staff are friendly and can offer tips and tricks for a better wash. It's a great alternative to a muddy backyard wash. The facility is well-ventilated and a great spot for a dog that loves water.","4,"Dogs must be on a leash when not in the wash tub. Please clean up any spills or mess. First-come, first-served for self-service.","http://www.lassieslaundromat.de","+49 30 11229988","info@lassieslaundromat.de","$$","Mon-Sat: 10:00-19:00, Sun: 11:00-16:00","4.1","Verified Business","[""Self-service Wash Tubs"", ""Professional Grooming"", ""Shampoo & Conditioner"", ""Hair Dryers"", ""Towels"", ""Aprons""]","[""grooming"", ""dog wash"", ""self-service"", ""bathing"", ""clean"", ""pet care""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
The Leashed Loop Trail,trail_walking,Berlin,Germany,52.5457,13.4891,"A scenic and well-maintained trail perfect for a quiet, on-leash walk with your dog.","The Leashed Loop Trail is a peaceful escape from the city, winding through a wooded area with beautiful views. The trail is mostly flat with a mix of packed dirt and gravel. There are several rest spots and benches along the way. The trail is heavily shaded by large trees, making it a great option for hot summer days. It is a strictly on-leash area to protect local wildlife. The trail is popular with bird watchers and other nature enthusiasts. Bring your own water as there are no fountains.","4,"Dogs must be on a leash at all times. Please stay on the marked trail. Clean up all waste.","http://www.leashedloop.de","+49 30 12345690","info@leashedloop.de","free","Mon-Sun: 24/7","4.0","City Park Guide","[""Wooded Trail"", ""Benches"", ""Scenic Views"", ""Shade Trees"", ""Rest Stops""]","[""trail"", ""walking"", ""on-leash"", ""nature"", ""hike"", ""scenic""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Doggy Daydream Apartments,apartment_pet_friendly,Berlin,Germany,52.5188,13.4111,"Modern, pet-friendly apartments in a great location, with amenities for dogs.","Doggy Daydream Apartments offer comfortable living for both you and your canine companion. The building has a dedicated pet wash station, a small fenced-in dog run, and a pet-friendly community. The apartments have durable, easy-to-clean flooring. A one-time pet fee and monthly pet rent apply. The location is close to several parks and walking trails. It's a perfect solution for long-term stays with your dog. The management is very accommodating to pet owners.","4,"A pet deposit and monthly pet rent are required. Maximum of two pets per apartment. All dogs must be registered with management.","http://www.doggydaydream.de","+49 30 99887755","rentals@doggydaydream.de","$$$$","Mon-Sun: 09:00-18:00 (Office Hours)","4.2","Verified Business","[""Pet Wash Station"", ""Dog Run"", ""Pet-friendly Community"", ""Elevator"", ""Near Parks""]","[""apartment"", ""pet friendly"", ""rental"", ""housing"", ""long-term"", ""amenities""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Hundetreff,dog_meetup,Berlin,Germany,52.5168,13.4011,"A local dog meetup group that organizes regular play dates and walks for dogs and their owners.","Berlin Hundetreff is a great community group for connecting with other dog owners. They organize weekly meetups at different parks and trails around Berlin. It's a casual, friendly atmosphere, and a good way for dogs to socialize. The events are announced on their social media pages. It's free to join, and a great way to explore new places with your dog. The group is welcoming to all breeds and sizes, as long as they are well-behaved. It's all about fun and making new friends.","5,"All dogs must be friendly and well-socialized. Owners are responsible for their dogs at all times. Bring water and poop bags.","http://www.berlinhundetreff.de","+49 30 11223344","events@berlinhundetreff.de","free","Weekly, check website for schedule","4.6","Curated Listing","[""Community Group"", ""Social Events"", ""Dog Walks"", ""Play Dates"", ""Group Hikes""]","[""meetup"", ""social"", ""community"", ""group"", ""dog walk"", ""play date""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Schnauzer's & Friends,pet_store,Berlin,Germany,52.5208,13.4079,"A small, boutique pet store with a focus on high-quality, specialty dog products.","Schnauzer's & Friends is a charming boutique for discerning dog owners. They specialize in organic food, handmade treats, stylish leashes, and unique toys. The store is well-curated and the staff are extremely knowledgeable about their products. They often have special tasting events for new food brands. The store is very dog-friendly and a great place to find a unique gift for your pup. They also carry a selection of eco-friendly and sustainable products.","4,"All dogs must be on a leash. Please be mindful of the breakable items in the store.","http://www.schnauzerandfriends.de","+49 30 77889900","shop@schnauzerandfriends.de","$$$","Mon-Sat: 11:00-19:00","4.4","Verified Business","[""Organic Food"", ""Handmade Treats"", ""Leashes & Collars"", ""Toys"", ""Eco-friendly Products""]","[""pet store"", ""boutique"", ""organic"", ""specialty"", ""accessories"", ""toys""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Canine Club,dog_training_class,Berlin,Germany,52.5401,13.4321,"Offering a variety of dog training classes, from puppy basics to advanced agility.","Berlin Canine Club is a professional training center that provides a range of classes for all skill levels. They focus on positive reinforcement and offer small class sizes to ensure individual attention. Their classes include Puppy Socialization, Basic Obedience, Agility, and Rally Obedience. The facility has both an indoor and an outdoor training area, and the trainers are certified professionals. It's a great place to improve your dog's skills and build confidence. They also offer private sessions.","5,"All dogs must have proof of vaccinations. Enrollment is required prior to class. Please bring your dog's favorite treats to class.","http://www.berlincanineclub.de","+49 30 55667799","training@berlincanineclub.de","$$$","Class schedule varies, check website","4.7","Verified Business","[""Puppy Classes"", ""Basic Obedience"", ""Agility"", ""Private Sessions"", ""Indoor Facility"", ""Outdoor Fenced Area""]","[""dog training"", ""class"", ""agility"", ""obedience"", ""puppy"", ""behavior""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Grunewald Forest Trails,trail_hiking,Berlin,Germany,52.4633,13.2389,"A vast network of hiking trails in the Grunewald forest, perfect for a long hike with your dog.","Grunewald Forest offers an extensive network of trails for hiking with your dog. The terrain is varied, with some sandy sections and hilly parts, and it's well-shaded by a dense canopy of trees. There are both on-leash and off-leash zones, so be sure to check the local signage. The forest has several small streams and lakes, offering opportunities for a dog to cool off. It's a great place to escape the city and get some serious exercise. Bring plenty of water for both you and your dog, especially on longer hikes.","4,"Dogs must be on a leash in designated on-leash zones. Respect local wildlife and other hikers.","http://www.grunewaldtrails.de","+49 30 11223366","info@grunewaldtrails.de","free","Mon-Sun: 24/7","4.5","City Park Guide","[""Hiking Trails"", ""Shade Trees"", ""Water Access"", ""Hilly Terrain"", ""Rest Stops""]","[""hiking"", ""trail"", ""forest"", ""nature"", ""off-leash"", ""on-leash""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Dog Lovers Meetup,dog_meetup,Berlin,Germany,52.5029,13.4301,"A friendly, weekly meetup for dog owners and their pets at different parks around Berlin.","This meetup group is an easy way to meet new people and dogs in a casual, fun setting. They organize events at a variety of dog-friendly locations, from parks to cafés. The atmosphere is always welcoming and it's a great chance for dogs to play off-leash in a safe environment. The group communicates through a social media page, where they post the weekly location and time. It's a great way to find new dog-friendly spots and build a community with other pet owners.","5,"Dogs must be well-socialized. Please bring your own water and waste bags. Always supervise your dog's interactions.","http://www.berlindoglovers.de","+49 30 11223377","contact@berlindoglovers.de","free","Sundays: 11:00-13:00 (Check group page for location)","4.7","Curated Listing","[""Community Group"", ""Social Events"", ""Dog Walks"", ""Play Dates"", ""Variety of Locations""]","[""meetup"", ""social"", ""community"", ""group"", ""dog walk"", ""play date""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Köter's Korner,cafe_dog_friendly,Berlin,Germany,52.5315,13.4110,"A small, quiet cafe with a focus on gourmet coffee and a calm, dog-friendly ambiance.","Köter's Korner is the perfect spot for a peaceful coffee break with your dog. The cafe has a few cozy tables and a tranquil atmosphere. Water bowls are provided, and the staff are happy to offer a treat. It's ideal for dogs that get overwhelmed in crowded places. The cafe has a small, shaded outdoor area as well. The floors are easy to clean, so a quiet, well-behaved dog is a welcome guest. The best time to visit is on a weekday morning for a quiet start to the day.","4,"Dogs must be on a leash. Please be considerate of other patrons. Excessive barking is not permitted.","http://www.koeterskorner.de","+49 30 11223399","info@koeterskorner.de","$$","Mon-Fri: 08:30-17:00, Sat-Sun: 09:00-16:00","4.0","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Cozy Atmosphere"", ""Gourmet Coffee""]","[""cafe"", ""dog friendly"", ""coffee"", ""quiet"", ""treats""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Pet Hotel,hotel_pet_friendly,Berlin,Germany,52.5412,13.4111,"A specialized pet-friendly hotel that offers unique amenities for dogs and cats.","Berlin Pet Hotel goes beyond the basic pet-friendly policy. They offer a 'pet welcome package' that includes a toy, treats, and a map of nearby parks. The rooms are equipped with comfortable pet beds and food/water bowls. There are no size or breed restrictions, making it accessible for all types of dogs. They also offer pet-sitting services. The staff are very knowledgeable about pet care and can recommend local services. It's a great option for owners traveling with their pets.","5,"A one-time pet fee applies. Pets must be leashed in all public areas. Owners are responsible for their pets' behavior and any damages.","http://www.berlinpethotel.de","+49 30 77889911","bookings@berlinpethotel.de","$$$$$","Mon-Sun: 24/7","4.8","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Pet Welcome Package"", ""Pet-sitting"", ""No Size Restrictions""]","[""hotel"", ""pet friendly"", ""accommodations"", ""travel"", ""pet services""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
