name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Pipican Parc de la Ciutadella,park_offleash_area,Barcelona,Spain,41.3879,2.1856,"A fenced off-leash area within the iconic Ciutadella Park, offering space for dogs to run.","Located inside the beautiful Parc de la Ciutadella, this designated off-leash zone is a social hub for local dogs. The area is a mix of hard-packed earth and gravel, which can get dusty but is well-drained. It's fully fenced, providing a safe and contained environment for play. Benches are available for owners, and there are some large trees for shade. Water is not always available, so bringing your own is highly recommended. The park is a popular meeting spot, especially in the evenings after work. It's a great place for urban dogs to burn off energy.",4,"Dogs must be leashed when outside the fenced area. Owners must clean up waste immediately. Aggressive dogs are not permitted.","http://www.barcelona.cat/ciutadellaparc","+34 934567890","info@barcelonaparks.es","free","Mon-Sun: 08:00-21:00","4.1","City Park Guide","[""Fenced Area"", ""Benches"", ""Shade Trees"", ""Social Spot"", ""Waste Bags""]","[""off-leash"", ""park"", ""Ciutadella"", ""fenced"", ""social""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Parc de l'Estació del Nord,park_offleash_area,Barcelona,Spain,41.3934,2.1812,"A spacious, enclosed dog park within a larger city park, near Arc de Triomf.","This off-leash park is a popular spot for dogs living near the city center. The fenced area is a good size, with a mix of grass and dirt. There are a few trees that offer some shade, and benches for owners. The park can get quite lively, so it's a good spot for social dogs. Water fountains for dogs are available, and waste bag dispensers are usually stocked. It's a great spot to meet other local dog owners and let your dog run free in a safe environment.","4,""Dogs must be on a leash when outside the designated fenced area. Owners are required to clean up waste.","http://www.barcelona.cat/parcsdelnord","+34 934567892","info@parcsdelnord.es","free","Mon-Sun: 08:00-22:00","4.3","City Park Guide","[""Fenced Area"", ""Water Fountain"", ""Benches"", ""Shade"", ""Waste Bags""]","[""off-leash"", ""park"", ""fenced"", ""social"", ""play""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Parc de Cervantes,park_onleash_area,Barcelona,Spain,41.3857,2.1009,"A beautiful, on-leash park known for its extensive rose garden and walking paths.","Parc de Cervantes is a stunning park ideal for a peaceful on-leash walk. The park is famous for its large rose garden, which is a beautiful backdrop for a stroll. The paths are wide and well-paved, making it easy to walk with your dog. The park has designated areas where dogs are allowed on a leash. There are plenty of benches and open green spaces. It's a very calm and clean environment, perfect for a relaxing outing. Water fountains are available in a few spots.","4,""Dogs must be on a leash. Stay on the designated paths. Do not allow your dog to enter the flowerbeds.","http://www.barcelona.cat/parcdecervantes","+34 931122335","contact@barcelonaparks.es","free","Mon-Sun: 10:00-21:00","4.5","City Park Guide","[""Paved Paths"", ""Gardens"", ""Benches"", ""Water Fountains"", ""Scenic""]","[""on-leash"", ""park"", ""walking"", ""gardens"", ""peaceful""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
El Bosc Urbà de Barcelona,trail_hiking,Barcelona,Spain,41.4111,2.1866,"A unique urban trail offering a mix of nature and city views, great for a hike with your dog.","El Bosc Urbà is a great spot to get a feel of hiking without leaving the city. The trail is on-leash and has a mix of terrain, from well-trodden paths to some slightly more rugged sections. It offers fantastic views of the city. The trail is well-shaded in parts, but also has open sections. It can get busy on weekends, so a weekday visit is recommended for a more tranquil experience. Be sure to bring enough water for you and your dog. It's an excellent place for dogs who love to explore and get some exercise.","4,""Dogs must be on a leash at all times. Owners must clean up waste. Be mindful of other hikers and bikers.","http://www.elboscubra.es","+34 937654322","info@elboscubra.es","free","Mon-Sun: 24/7","4.1","Curated Listing","[""Hiking Trails"", ""City Views"", ""Shade"", ""Varied Terrain"", ""Benches""]","[""trail"", ""hiking"", ""on-leash"", ""urban"", ""views"", ""nature""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Canine Wellness,vet_clinic,Barcelona,Spain,41.3854,2.1643,"A small, caring veterinary clinic with a focus on holistic and preventative care.","Canine Wellness is a smaller veterinary clinic that offers a personalized and compassionate approach to pet health. They specialize in routine check-ups, dental care, and nutritional counseling. The clinic has a calm and welcoming atmosphere, which helps reduce stress for nervous pets. The staff are dedicated to building long-term relationships with their clients and their pets. They use modern equipment for diagnostics. Appointments are highly recommended to ensure personalized attention.","5,""Dogs must be leashed in the waiting room. Please inform staff if your dog is reactive or anxious.","http://www.caninewellnessbcn.es","+34 934561234","contact@caninewellnessbcn.es","$$$","Mon-Fri: 09:30-18:30","4.6","Verified Business","[""Preventative Care"", ""Holistic Care"", ""Nutritional Counseling"", ""Dental Care"", ""Small Clinic""]","[""vet"", ""veterinarian"", ""holistic"", ""health"", ""wellness""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Mascota's World,pet_store,Barcelona,Spain,41.4018,2.1811,"A large, well-stocked pet store with a huge variety of products and services for dogs.","Mascota's World is a comprehensive pet store where you can find everything you need for your dog under one roof. They have a vast selection of food, from major brands to specialty diets, as well as a huge array of toys, accessories, and grooming products. The store also offers a professional grooming service and a small self-service dog wash area. The staff are friendly and knowledgeable. The store is spacious and easy to navigate with a dog.","4,""Dogs must be on a leash. Please be mindful of other animals and customers in the store.","http://www.mascotasworld.es","+34 939012346","info@mascotasworld.es","$$","Mon-Sat: 09:00-20:30","4.4","Verified Business","[""Pet Food"", ""Toys"", ""Grooming Service"", ""Self-service Wash"", ""Accessories"", ""Training Supplies""]","[""pet store"", ""supplies"", ""grooming"", ""large store"", ""shopping""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
The Pooch Post,brewery_dog_friendly,Barcelona,Spain,41.3853,2.1691,"A craft brewery with a spacious, dog-friendly terrace, known for its creative brews and casual atmosphere.","The Pooch Post is a fantastic brewery where you can enjoy a wide selection of craft beers with your dog by your side. Their large outdoor terrace is perfect for dogs, with plenty of space between tables and water bowls readily available. The atmosphere is relaxed and welcoming to both two-legged and four-legged patrons. The staff are friendly and will often bring out a treat for your pup. The brewery can get busy in the evenings, so an afternoon visit is best for a more relaxed experience. The ground is a mix of gravel and concrete, so be mindful of the heat.","4,""Dogs must be on a leash at all times. Keep your dog calm and near your table.","http://www.thepoochpostbcn.es","+34 934561235","info@thepoochpostbcn.es","$$","Wed-Fri: 17:00-23:00, Sat-Sun: 12:00-23:00","4.3","Verified Business","[""Outdoor Seating"", ""Beer Garden"", ""Water Bowls"", ""Craft Beer"", ""Casual""]","[""brewery"", ""beer garden"", ""dog friendly"", ""craft beer""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Jardins del Mestre Balcells,park_offleash_area,Barcelona,Spain,41.3853,2.1691,"A fully fenced, official dog park in the heart of Barcelona's vibrant urban landscape.","Jardins del Mestre Balcells is a well-maintained, official dog park. It's completely fenced, providing a safe space for dogs to play off-leash. The park has a mix of dirt and gravel, with a few trees that provide some shade. There are benches for owners to sit on. It's a popular meeting spot for local dog owners and their pets. The park can get quite crowded, especially in the evenings, but the friendly atmosphere makes it worth it. Remember to bring your own water for your dog.","4,""Dogs must be leashed when entering and exiting the park. Owners must clean up waste. No aggressive dogs.","http://www.barcelona.cat/jardinsbalcells","+34 939012347","info@barcelonaparks.es","free","Mon-Sun: 08:00-22:00","4.2","City Park Guide","[""Fenced Area"", ""Benches"", ""Social Spot"", ""Dirt/Gravel Ground""]","[""off-leash"", ""dog park"", ""fenced"", ""urban"", ""social""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Platja de la Ribera,beach_dog_friendly,Barcelona,Spain,41.3815,2.1867,"A small, seasonal dog-friendly beach area where dogs can swim and play freely.","Platja de la Ribera is a small stretch of beach where dogs are allowed during certain months of the year. It's a great spot for a dog to cool off in the sea. The beach is not fully fenced, so dogs must be well-behaved and have good recall. The sand is fine, and the water is shallow and calm. It's a much quieter alternative to the more popular Llevant beach. Always check local signage for current rules and hours. Bringing your own water and a towel is essential.","3,""Dogs are only allowed during the designated season. Dogs must be on leash when entering and leaving. Clean up all waste.","http://www.barcelonabeaches.cat","+34 932109876","info@barcelonabeaches.cat","free","Seasonal: June-Sept, 10:00-19:00","3.5","Curated Listing","[""Water Access"", ""Sandy Beach"", ""Swimming"", ""Seasonal""]","[""beach"", ""swimming"", ""dog friendly"", ""water"", ""seasonal""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Pet Friendly Barcelona,dog_training_class,Barcelona,Spain,41.3895,2.1588,"A well-regarded training center offering classes and workshops for dogs of all ages.","Pet Friendly Barcelona provides a comprehensive range of dog training services. They specialize in puppy socialization, basic obedience, and advanced behavioral training. The classes are held in a secure, spacious indoor facility and sometimes outdoors in a fenced area. They use positive reinforcement methods and keep class sizes small for personalized attention. The trainers are certified and experienced. It's a great place to build a stronger relationship with your dog and tackle behavioral issues.","5,""All dogs must be up to date on vaccinations. You must enroll in classes in advance. Dogs with known aggression issues may require private sessions.","http://www.petfriendlybcn.es","+34 934561239","training@petfriendlybcn.es","$$$","Class schedules vary, check website for details","4.7","Verified Business","[""Puppy Classes"", ""Obedience Training"", ""Behavior Modification"", ""Private Sessions"", ""Indoor Facility""]","[""dog training"", ""class"", ""obedience"", ""puppy"", ""behavior""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
The Doggy Pizzeria,restaurant_dog_friendly,Barcelona,Spain,41.3965,2.1522,"A friendly pizzeria with a spacious covered terrace where dogs are more than welcome.","The Doggy Pizzeria is a casual and popular spot for pizza lovers and their pups. The restaurant has a large, comfortable covered terrace that is dog-friendly. The staff are accommodating and will provide water bowls. It's a relaxed atmosphere, perfect for a casual meal after a walk. The terrace is an ideal spot to avoid the sun or rain while still dining with your dog. It's especially popular on weekend evenings.","4,""Dogs must be on a leash. Keep your dog under the table and out of the way of staff and other patrons.","http://www.doggy-pizzeria.es","+34 931239879","info@doggpizzeria.es","$$","Tue-Sun: 13:00-23:00","4.1","Verified Business","[""Outdoor Seating"", ""Covered Terrace"", ""Water Bowls"", ""Pizza"", ""Casual Dining""]","[""restaurant"", ""pizzeria"", ""dog friendly"", ""terrace"", ""pizza""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Parc de la Pegaso,park_onleash_area,Barcelona,Spain,41.4287,2.1677,"A peaceful, on-leash park with open fields and shady walkways.","Parc de la Pegaso is a local favorite for dog owners. The park has wide, well-maintained paths and large grassy areas perfect for on-leash walks. It is a quiet and clean park, offering a nice escape from the urban hustle. The park has plenty of benches for rest and is well-shaded by trees. It's a great place for a relaxing stroll or a quiet morning jog with your dog. Water fountains are available.","4,""Dogs must be leashed at all times. Owners are responsible for cleaning up waste. Stay on marked paths.","http://www.barcelona.cat/parcpegaso","+34 939876544","info@barcelonaparks.es","free","Mon-Sun: 24/7","4.4","City Park Guide","[""Paved Paths"", ""Shade Trees"", ""Benches"", ""Water Fountain"", ""Grassy Areas""]","[""on-leash"", ""park"", ""walking"", ""peaceful"", ""clean""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Barcelona Dog Center,grooming_salon,Barcelona,Spain,41.4018,2.1811,"A comprehensive pet care center offering professional grooming and other services.","Barcelona Dog Center is a one-stop-shop for your dog's needs. They have a team of professional groomers who provide everything from a simple wash to a full-service spa day. The center also offers a doggy daycare and a small retail area with pet supplies. The atmosphere is professional and caring, and they use high-quality products. Appointments are recommended for grooming. They have special treatments for sensitive skin and specific coat types.","5,""Appointments are required for grooming. All dogs must have up-to-date vaccinations. Please arrive on time.","http://www.barcelonadogcenter.es","+34 939012348","contact@barcelonadogcenter.es","$$$","Mon-Sat: 09:00-19:00","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Daycare"", ""Pet Supplies"", ""Nail Trimming"", ""De-Shedding""]","[""grooming"", ""salon"", ""daycare"", ""pet care"", ""professional""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Doggy Walks Barcelona,dog_meetup,Barcelona,Spain,41.3934,2.1812,"A community group that organizes weekly dog walks and meetups in various Barcelona parks.","Doggy Walks Barcelona is a fantastic way to socialize your dog and meet other pet owners. The group organizes regular, free meetups at different parks and walking trails around the city. It's a casual and friendly atmosphere. The locations are always announced in advance on their social media page. It's a great opportunity for dogs to play and for owners to share tips and advice. They are welcoming to all breeds and sizes.","5,""Dogs must be friendly and non-aggressive. Owners are responsible for their dogs at all times. Bring water and waste bags.","http://www.doggywalks.es","+34 934561236","info@doggywalks.es","free","Weekly, check social media for schedule","4.8","Curated Listing","[""Community Group"", ""Social Events"", ""Dog Walks"", ""Play Dates"", ""Variety of Locations""]","[""meetup"", ""social"", ""community"", ""group"", ""dog walk""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Canine Castle Hotel,hotel_pet_friendly,Barcelona,Spain,41.3854,2.1643,"A pet-friendly hotel that treats dogs like royalty, with luxurious amenities and services.","Canine Castle Hotel is a premium hotel that is exceptionally welcoming to dogs. They offer a doggy bed, food bowls, a welcome treat, and even a special room service menu for dogs. The hotel has no size or breed restrictions. A dedicated dog concierge can assist with services like dog walking and pet-sitting. The hotel is located near several dog-friendly cafes and parks. A small surcharge applies. It's a great option for owners who want to travel in style with their pets.","5,""A pet surcharge and a refundable deposit are required. Dogs must be leashed in all public areas. Owners are liable for any damages caused by their pet.","http://www.caninecastlebcn.es","+34 934561237","reservas@caninecastle.es","$$$$$","Mon-Sun: 24/7","4.9","Verified Business","[""Pet Bed"", ""Room Service"", ""Pet Concierge"", ""No Breed Restrictions"", ""Pet-sitting""]","[""hotel"", ""pet friendly"", ""luxury"", ""accommodations"", ""travel""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
