name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Flevopark,park_onleash_area,Amsterdam,Netherlands,52.3601,4.9458,"A large park with a mix of woodlands and open fields, perfect for on-leash walks.","Flevopark is a beautiful park on the east side of Amsterdam. It offers a great trail system with wide, well-maintained paths that are perfect for an on-leash walk. The park has a mix of open grassy areas and dense wooded sections, providing plenty of shade and different types of terrain. There are a few designated off-leash zones, but the majority of the park is on-leash. There are water fountains available. It's a great place to escape the city hustle and enjoy a peaceful walk with your dog.","4","Dogs must be on a leash in all non-designated off-leash zones. Owners must clean up waste. Respect other park visitors.","http://www.flevopark.amsterdam","+31 20 555 1111","contact@flevopark.nl","free","Mon-Sun: 24/7","4.3","City Park Guide","[""Paved Paths"", ""Grassy Areas"", ""Shade Trees"", ""Benches"", ""Water Fountains""]","[""on-leash"", ""park"", ""walking"", ""nature"", ""peaceful""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Amsterdam Dog School,dog_training_class,Amsterdam,Netherlands,52.3876,4.8690,"A professional training center offering a variety of classes from puppy basics to advanced skills.","Amsterdam Dog School is a well-regarded training center that offers classes for all levels. They focus on positive reinforcement and provide small class sizes for individual attention. Their classes include Puppy Socialization, Basic Obedience, and Agility. The trainers are certified and experienced professionals. The facility has both an indoor and an outdoor fenced area for training. It's a great place to build a stronger bond with your dog and to improve their skills in a structured environment.","5","All dogs must have proof of vaccinations. Enrollment is required prior to class. Please bring your dog's favorite treats.","http://www.amsterdamdogschool.nl","+31 20 555 1235","training@amsterdamdogschool.nl","$$$","Class schedules vary, check website for details","4.7","Verified Business","[""Puppy Classes"", ""Basic Obedience"", ""Agility"", ""Private Sessions"", ""Indoor Facility"", ""Outdoor Fenced Area""]","[""dog training"", ""class"", ""agility"", ""obedience"", ""puppy"", ""behavior""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Fido and Friends,dog_meetup,Amsterdam,Netherlands,52.3678,4.8872,"A community group that organizes regular dog walks and meetups in and around Amsterdam.","Fido and Friends is a community-driven group for dog owners who want to socialize their pets and meet new people. They organize free weekly meetups at different parks and dog-friendly locations around the city. The events are announced on their social media page. It's a casual and friendly atmosphere, welcoming all breeds and sizes. It's a great way to find new dog-friendly spots and build a community with other pet owners.","5","Dogs must be friendly and well-socialized. Owners are responsible for their dogs at all times. Bring water and waste bags.","http://www.fidoandfriends.nl","+31 20 888 7779","info@fidoandfriends.nl","free","Weekly, check social media for schedule","4.9","Curated Listing","[""Community Group"", ""Social Events"", ""Dog Walks"", ""Play Dates"", ""Variety of Locations""]","[""meetup"", ""social"", ""community"", ""group"", ""dog walk""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Café van Gogh,cafe_dog_friendly,Amsterdam,Netherlands,52.3610,4.8812,"A cozy, artsy cafe near the Van Gogh Museum that welcomes dogs.","Café van Gogh is a charming spot for a coffee or a drink, and they are very accommodating to dogs. The cafe has a small but comfortable interior and a few tables on the sidewalk terrace. The staff are friendly and will provide a water bowl for your dog. The atmosphere is relaxed and artistic, reflecting its location. It's a great place to stop for a break after a long walk through Museumplein. The best time to visit is on a weekday morning to enjoy a quiet moment.","4","Dogs must be on a leash. Please ensure your dog does not block the walkway. Be mindful of the limited space.","http://www.cafevangogh.nl","+31 20 123 4567","info@cafevangogh.nl","$$","Mon-Fri: 09:00-18:00, Sat-Sun: 10:00-17:00","4.1","Curated Listing","[""Outdoor Seating"", ""Water Bowls"", ""Coffee"", ""Casual Dining"", ""Terrace""]","[""cafe"", ""dog friendly"", ""museum district"", ""coffee""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Rembrandtpark Hondenlosloopgebied,park_offleash_area,Amsterdam,Netherlands,52.3615,4.8450,"A large off-leash area within the scenic Rembrandtpark, with plenty of space for dogs to play.","Rembrandtpark is a large, peaceful park with a designated off-leash area that is a favorite among local dog owners. The area is spacious, with a mix of grassy fields and some dirt paths. It is fully fenced, providing a safe and secure environment for dogs to run and play. There are benches for owners and a few trees for shade. Water is not always available, so bringing your own is recommended. The park can get lively in the evenings with many dogs socializing. It's a great place for an energetic dog to burn off steam.","5","Dogs must be on a leash when outside the fenced area. Owners are responsible for cleaning up waste. No aggressive dogs are allowed.","http://www.rembrandtpark.amsterdam","+31 20 111 2233","contact@rembrandtpark.nl","free","Mon-Sun: 08:00-21:00","4.5","City Park Guide","[""Fenced Area"", ""Benches"", ""Grassy Area"", ""Waste Bags"", ""Social Spot""]","[""off-leash"", ""park"", ""fenced"", ""play"", ""Rembrandtpark""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Amsterdamse Bos,park_onleash_area,Amsterdam,Netherlands,52.3168,4.8467,"A massive, semi-wild park with endless trails for on-leash walking and exploring.","Amsterdamse Bos is a huge, man-made forest on the edge of the city, offering a true escape to nature. The park has an extensive network of on-leash walking and hiking trails that wind through woods and around lakes. There are also many designated off-leash areas. The terrain is a mix of paved paths and dirt trails. The forest is well-shaded, making it a great place to visit on a hot day. You can find several water fountains and public restrooms. It's a fantastic spot for a long, peaceful walk or a trail run with your dog.","4","Dogs must be leashed in all non-designated off-leash areas. Owners must clean up waste. Respect other park users and wildlife.","http://www.amsterdamsebos.nl","+31 20 666 4445","info@amsterdamsebos.nl","free","Mon-Sun: 24/7","4.8","City Park Guide","[""Paved Paths"", ""Hiking Trails"", ""Shade Trees"", ""Benches"", ""Lakes"", ""Scenic Views""]","[""on-leash"", ""park"", ""forest"", ""walking"", ""nature""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Doggie Diner Amsterdam,restaurant_dog_friendly,Amsterdam,Netherlands,52.3752,4.8972,"A casual diner with a dog-friendly terrace, serving classic American comfort food.","Doggie Diner Amsterdam is a laid-back eatery that warmly welcomes dogs. They have a large, covered outdoor terrace with plenty of space for dogs to relax. The staff are friendly and accommodating, and will provide a water bowl upon request. The menu features classic diner food like burgers and fries. It's a great spot for a casual and fun meal after a walk. The terrace is an ideal spot to sit and relax while people-watching with your dog.","4","Dogs must be on a leash. Keep your dog under the table and out of the walkway. No dogs on the furniture.","http://www.doggiediner.nl","+31 20 123 9876","info@doggiediner.nl","$$","Mon-Sun: 12:00-22:00","4.0","Verified Business","[""Outdoor Seating"", ""Terrace"", ""Water Bowls"", ""Casual Dining"", ""Comfort Food""]","[""restaurant"", ""diner"", ""dog friendly"", ""casual"", ""terrace""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
The Barking Barrel,brewery_dog_friendly,Amsterdam,Netherlands,52.3876,4.8690,"A modern microbrewery with a welcoming atmosphere for dogs and a great selection of craft beer.","The Barking Barrel is a modern microbrewery with a relaxed, dog-friendly atmosphere. The interior is spacious, allowing dogs to lie comfortably at your feet while you enjoy a beer. The staff are friendly and will provide water bowls. They have a great selection of craft beers on tap. It's a great place to meet other beer and dog enthusiasts. The brewery can get a bit crowded on weekend nights, so an afternoon visit is best for a more relaxed vibe.","4","Dogs must be on a leash. Do not allow your dog to roam freely. Be mindful of other patrons and staff.","http://www.barkingbarrel.nl","+31 20 555 1236","info@barkingbarrel.nl","$$","Wed-Fri: 16:00-00:00, Sat-Sun: 14:00-01:00","4.3","Verified Business","[""Indoor Seating"", ""Water Bowls"", ""Craft Beer"", ""Casual"", ""Local Brews""]","[""brewery"", ""dog friendly"", ""craft beer"", ""casual""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Lieve Hond,grooming_salon,Amsterdam,Netherlands,52.3615,4.8450,"A professional grooming salon with a focus on a calming and stress-free experience.","De Lieve Hond provides a wide range of grooming services in a peaceful environment. The salon is known for its patience with nervous or anxious dogs, using a gentle approach. Services include bathing, trimming, nail clipping, and special treatments for skin conditions. They use high-quality, hypoallergenic products. Appointments are required. The staff are highly experienced and dedicated to providing a positive grooming experience.","5","Appointments are mandatory. All dogs must have current vaccinations. Please inform staff of any health issues.","http://www.delievehond.nl","+31 20 111 2234","grooming@delievehond.nl","$$$","Tue-Sat: 10:00-18:00","4.7","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Hypoallergenic Products"", ""Calm Environment""]","[""grooming"", ""salon"", ""dog wash"", ""pet care"", ""stress-free""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Snuit,pet_store,Amsterdam,Netherlands,52.3876,4.8690,"A small, boutique pet store with a focus on high-quality, organic products for dogs.","De Snuit is a charming boutique for dog and cat owners. They specialize in organic food, handmade treats, stylish leashes, and unique toys. The staff are extremely knowledgeable and can provide expert advice on nutrition and products. The store is designed to be a comfortable space for dogs to browse with their owners. They also host special events and workshops. It's a great place to find a unique and healthy gift for your pet.","4","All dogs must be on a leash. Please be mindful of other customers and the limited space.","http://www.desnuit.nl","+31 20 555 1237","shop@desnuit.nl","$$$","Mon-Sat: 10:30-19:00","4.4","Verified Business","[""Organic Food"", ""Handmade Treats"", ""Leashes & Collars"", ""Toys"", ""Eco-friendly Products""]","[""pet store"", ""boutique"", ""organic"", ""specialty"", ""accessories""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Oosterpark Hondenlosloopgebied,park_offleash_area,Amsterdam,Netherlands,52.3615,4.9200,"A designated off-leash dog area in the beautiful Oosterpark, perfect for urban dogs.","Oosterpark's off-leash area is a great urban spot for dogs to run and socialize. The area is a mix of grass and dirt, and while not fully fenced, it is a designated zone where dogs can roam freely. The park has plenty of shade and benches for owners to sit on. It's a popular meeting spot for local dog owners, especially in the evenings. The park can get lively, so it's a good place for social dogs. It's a very convenient location for those living in the east of the city.","4","Dogs must be on a leash when outside the designated zone. Owners are responsible for cleaning up waste. Ensure your dog has good recall.","http://www.oosterpark.amsterdam","+31 20 111 2235","info@oosterpark.nl","free","Mon-Sun: 08:00-21:00","4.2","City Park Guide","[""Open Area"", ""Grassy Areas"", ""Shade Trees"", ""Benches"", ""Waste Bags""]","[""off-leash"", ""park"", ""urban"", ""social"", ""Oosterpark""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Amsterdam Pet Hotel,hotel_pet_friendly,Amsterdam,Netherlands,52.3789,4.8972,"A specialized pet-friendly hotel that offers unique amenities for dogs and cats.","Amsterdam Pet Hotel goes beyond the basic pet-friendly policy. They offer a 'pet welcome package' that includes a toy, treats, and a map of nearby parks. The rooms are equipped with comfortable pet beds and food/water bowls. There are no size or breed restrictions, making it accessible for all types of dogs. They also offer pet-sitting services. The staff are very knowledgeable about pet care and can recommend local services. It's a great option for owners traveling with their pets.","5","A one-time pet fee applies. Pets must be leashed in all public areas. Owners are responsible for their pets' behavior and any damages.","http://www.amsterdampethotel.nl","+31 20 777 8881","bookings@amsterdampethotel.nl","$$$$$","Mon-Sun: 24/7","4.8","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Pet Welcome Package"", ""Pet-sitting"", ""No Size Restrictions""]","[""hotel"", ""pet friendly"", ""accommodations"", ""travel"", ""pet services""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
